ID_USER,ID_QUESTION,Question_Category,Question_Description,USER_ANSWER,CORRECT_ANSWER,Duration
2,2,PU,Lawan kata monoton,3,3,48
2,81,PU,"(1) Sebuah studi menunjukkan bahwa anak yang dibiasakan mendengarkan cerita sejak dini dan dikenalkan dengan kebiasaan membaca memiliki perkembangan jaringan otak yang lebih awal. (2) Sebaliknya, anak yang tidak dikenalkan dengan kebiasaan membaca memiliki perkembangan yang kurang pada jaringan tersebut. (3) Anak-anak balita dengan orang tua yang rutin membacakan buku untuk mereka mengalami perbedaan perilaku dan prestasi akademik dengan anak-anak dengan orang tua yang cenderung pasif dalam membacakan buku.

(4) Menurut sebuah studi baru yang diterbitkan dalam jurnal Pediatrics menemukan perbedaan yang juga terjadi pada aktivitas otak anak. (5) Peneliti mengamati perubahan aktivitas otak anak-anak usia 3 sampai dengan 5 tahun yang mendengarkan orang tua mereka membacakan buku melalui scanner otak yang disebut functional magnetic resonance imaging (FMRI). (6) Orang tua menjawab pertanyaan tentang berapa banyak mereka membacakan cerita untuk anak-anak serta seberapa sering melakukan komunikasi. (7) Para peneliti melihat bahwa ketika anak-anak sedang mendengarkan orangtua bercerita, sejumlah daerah di bagian kiri otak menjadi lebih aktif. (8) Ini adalah daerah yang terlibat dalam memahami arti kata, konsep, dan memori. (9) Wilayah otak ini juga menjadi aktif ketika anak-anak bercerita atau membaca. (10) Pada studi ini menunjukkan bahwa perkembangan daerah ini dimulai pada usia yang sangat muda. (11) Yang lebih menarik adalah bagaimana aktivitas otak di wilayah inilebih sibuk pada anak-anak yang orang tuanya gemar membaca. (12) Membacakan buku untuk anak membantu pertumbuhan neuron didaerah ini yang akan menguntungkan anak di masa depan dalam hal kebiasaan membaca.

Kalimat manakah yang TIDAK efektif dalam teks",3,3,91
2,262,PBM,"Perubahan iklim terhadap kualitas udara di dunia selalu dilaporkan oleh World Meteorological Organization (WMO) setiap tahun (1). Menurut.., musim panas tahun 2022 adalah musim panas terpanas yang pernah tercatat di Eropa (2). Rekor ini kemudian terpecahkan pada 2023 (3). Gelombang panas yang berkepanjangan menyebabkan peningkatan konsentrasi materipartikulat (PM) 2,5 dan ozon di permukaan tanah (4). Ratusan lokasi pemantauan kualitas udara mencatat 100 mikron per meter kubik paparan selama delapan jam, melampaui tingkat pedoman kualitas udara ozon WHO (5). Hal tersebut pertama kali terjadi di barat daya Eropa, lalu ke Eropa Tengah, dan menyebar ke seluruh benua (6). Selama paruh kedua bulan Agustus 2022, terjadi intrusi debu gurun yang sangat tinggi di Mediterania dan Eropa (7). Campuran suhu tinggi, aerosol yang tinggi, serta kandungan PM 2,5 berdampak terhadap kesehatan serta kesejahteraan manusia (8).

Pertanyaan paling tepat untuk melengkapi kalimat (2) adalah",2,0,113
2,149,PU,"Pada sebuah pertemuan yang terdiri atas para koki professional, yaitu Chef Randy, Chef Rani, Chef Agil, dan Chef Vero. Salah seorang dari mereka merupakan ahli dalam masakan Indonesia, sementara yang lainnya ahli dalam masakan Eropa, Italia, dan Cina. Pada suatu waktu, mereka dipertemukan dalam suatu acara memasak sebagai juri dan duduk di meja persegi dengan susunan sebagai berikut.
- Ahli masakan Indonesia duduk di sebelah kiri Chef Randy.
- Ahli masakan Cina duduk bersebrangan dengan Chef Vero.
- Chef Rani dan Chef Agil duduk berdekatan.
- Sementara itu, salah seorang Chef duduk di sebelah kiri ahli masakan Eropa.
- Ahli masakan Italia bersebrangan dengan Chef Agil

Siapakah yang ahli dalam masakan Italia",3,0,100
2,442,PPU,"Listrik sangat biasa dibutuhkan untuk memperlancar berbagai kegiatan di rumah. Kegiatan di rumah yang memerlukan listrik misalnya kegiatan mencuci dengan mesin cuci, mengisi bak air dengan mesin penyedot air,  belajar pada malam hari dengan lampu, menonton televisi, mengetik dengan komputer, dan sebagainya. 

Energi listrik membawa perubahan perilaku kehidupan manusia. Dengan energi listrik, pekerjaan dapat dilakukan dengan lebih cepat dan mudah. Adapun sumber energi listrik yaitu pembangkit tenaga air, uap, diesel, dan panas bumi. Sumber-sumber energi listrik tersebut harus dikelola dengan baik. 

Selain mengelola secara baik, kita juga perlu melakukan penghematan listrik. Sikap menghemat listrik bermanfaat untuk membantu pemerintah dalam mengurangi beban biaya subsidi listrik. Dengan menghemat listrik , beban membayar listrik menjadi lebih ringan. Selain itu, dengan menghemat penggunaan listrik, kita juga membantu pemerintah dalam memeratakan listrik di daerah - daerah yang belum mendapatkan aliran listrik.
 
Hemat listrik dapat dilakukan dengan berbagai cara, misalnya menggunakan lampu seperlunya saja, mematikan lampu ketika tidur, mematikan televisi jika tidak ditonton, dan sebagainya. Sudah selayaknya kita menggunakan listrik secara bijak. Jangan biarkan listrik terus mengalir tanpa kendali. Perilaku hemat listrik harus dibudidayakan di masyarakat.

Kalimat yang sesuai dengan isi paragraf ke-4 adalah ....",2,3,111
2,525,PK,"Sebuah kkode rahasia disusun terdiri dari 4 digit
• Digit I huruf vocal bukan U
• Digit II diisi dengan angka genap
• Digit III diisi dengan huruf A
• Digit IV diisi dengan angka 0, 1, 2, 3, 4 dan 5

Banyaknya kode rahasia yang dapat dibuat jika setiap digit harus berbeda adalah",2,0,25
2,398,PPU,"Di era globalisasi seperti yang kita alami saat ini, remaja harus terselamatkan dari dampak negatif globalisasi. Globalisasi mengandung arti mendunia yang diibaratkan dengan kebebasan. Banyak budaya asing yang masuk, sementara budaya tersebut tidak cocok dengan kebudayaan kita yang ketimuran. Sebagai contoh, budaya seks bebas yang marak terjadi di budaya barat kini telah memengaruhi remaja Indonesia. Budaya ini tidak sesuai dengan dasar negara kita, yakni Pancasila. Seks bebas adalah salah satu bentuk perilaku menyimpang. Istilah bebas yang dimaksud adalah melewati batas-batas norma yang ada.

Pada saat ini kebebasan bergaul sudah sampai pada tingkat yang mengkhawatirkan. Sebanyak 63 persen remaja sudah pernah melakukan hubungan seks di luar nikah. Hal ini terbukti pada saat Komisi Perlindungan Anak Indonesia (KPAI) dan Kemenkes melakukan survey pada Oktober 2019. Persentase yang cukup besar ini sangat memprihatinkan dan menarik perhatian. 

Permasalahan seks bebas ini adalah permasalah yang serius dan harus segera diatasi. Hal ini untuk mencegah timbulnya generasi penerus bangsa yang tidak ber-Pancasila. Remaja adalah generasi penerus bangsa yang memegang kunci masa depan bangsa.

Frasa hal ini pada paragraf 3 merujuk pada",3,3,83
2,439,PPU,"Listrik sangat biasa dibutuhkan untuk memperlancar berbagai kegiatan di rumah. Kegiatan di rumah yang memerlukan listrik misalnya kegiatan mencuci dengan mesin cuci, mengisi bak air dengan mesin penyedot air,  belajar pada malam hari dengan lampu, menonton televisi, mengetik dengan komputer, dan sebagainya. 

Energi listrik membawa perubahan perilaku kehidupan manusia. Dengan energi listrik, pekerjaan dapat dilakukan dengan lebih cepat dan mudah. Adapun sumber energi listrik yaitu pembangkit tenaga air, uap, diesel, dan panas bumi. Sumber-sumber energi listrik tersebut harus dikelola dengan baik. 

Selain mengelola secara baik, kita juga perlu melakukan penghematan listrik. Sikap menghemat listrik bermanfaat untuk membantu pemerintah dalam mengurangi beban biaya subsidi listrik. Dengan menghemat listrik , beban membayar listrik menjadi lebih ringan. Selain itu, dengan menghemat penggunaan listrik, kita juga membantu pemerintah dalam memeratakan listrik di daerah - daerah yang belum mendapatkan aliran listrik.
 
Hemat listrik dapat dilakukan dengan berbagai cara, misalnya menggunakan lampu seperlunya saja, mematikan lampu ketika tidur, mematikan televisi jika tidak ditonton, dan sebagainya. Sudah selayaknya kita menggunakan listrik secara bijak. Jangan biarkan listrik terus mengalir tanpa kendali. Perilaku hemat listrik harus dibudidayakan di masyarakat.

Bagaimana cara menghemat listrik?",2,3,50
2,449,PPU,"Berbagai bentuk pilihan dan kebijakan publik tidak menggunakan asas-asas nalar publik yang sehat. Kebijakan dan pilihan politik dengan nalar publik yang sehat setidaknya harus memenuhi empat prinsip utama suatu 
politik yang responsif: prinsip kemasukakalan, efisiensi, keadilan, dan kebebasan . Politik responsif terse but menghendaki agar demokrasi yang dikembangkan tidak berhenti sebagai demokrasi minimalis yang bersifat elitis, tetapi menjelma menjadi demokrasi deliberatif (permusyawaratan) yang dipimpin oleh hikmat kebijaksanaan. 

Dalam demokrasi deliberatif, keputusan politik dikatakan benar jika memenuhi setidaknya empat prasyarat. Pertama, harus didasarkan pada asas rasionalitas dan keadilan, bukan hanya berdasarkan subyektivitas kepentingan . Kedua, didedikasikan bagi kepentingan banyak orang, bukan demi kepentingan perseorangan atau golongan. Ketiga, berorientasi jauh ke depan, bukan demi kepentingan jangka pendek melalui akomodasi transaksional yang bersifat destruktif (toleransi negatif). Keempat, bersifat imparsial, melibatkan dan mempertimbangkan pendapat semua pihak (minoritas sekalipun) secara inklusif, yang dapat menangkal diktedikte minoritas elite penguasa dan pengusaha serta klaim-klaim mayoritas. 
Sumber: Harian Kompas, 27 September 2016

Kelemahan dalam paragraf 2 teks tersebut adalah ..",0,3,60
2,117,PU,"Pada ujian TOEFL, terdapat 45% dari peserta ujian yang dinyatakan lulus. Jika 1/5 dari peserta ujian yang lulus sebanyak 45 orang, maka banyak peserta ujian yang dinyatakan tidak lulus adalah ….. orang",1,3,53
3,273,PPU,"(1) Sebagian besar orang sering mengeluh karena terlalu sibuk. (2) Mereka umumnya ingin memiliki lebih banyak waktu luang. (3) Namun, penelitian terbaru menemukan bahwa terlalu banyak waktu luang ternyata tidak lebih baik daripada terlalu sibuk. (4) Menurut penelitian yang diterbitkan oleh American Psychological Association, bertambahnya waktu luang memang dapat meningkatkan rasa bahagia. (5) Akan tetapi, perasaan itu hanya bertahan sampai titik tertentu. (6) Jika waktu luang yang dimiliki terlalu banyak, akan ada dampak buruk yang timbul.

(7) Untuk menyelidiki fenomena tersebut, para peneliti melakukan eksperimen daring yang melibatkan lebih dari 6.000 peserta. (8) Peneliti menemukan bahwa orang yang memiliki waktu luang sedikit merasa lebih stres daripada mereka yang memiliki jumlah waktu luang sedang. (9) Sementara itu, mereka yang memiliki waktu luang banyak juga merasa kurang produktif daripada mereka yang berada dalam kelompok sedang. (10) Lebih lanjut, temuan tersebut menunjukkan bahwa berakhir dengan waktu luang sepanjang hari untuk melakukan hal-hal yang diinginkan ternyata dapat membuat seseorang merasa tidak bahagia. (11) Sebaliknya, orang harus berusaha untuk memiliki waktu luang dalam jumlah sedang agar dapat melakukan apa yang mereka inginkan.

Perumpamaan pada teks dapat ditemukan pada kalimat ….
",1,3,71
3,563,PK,"Sebelas siswa mengikuti tes. Guru mengumumkan bahwa jangkauan data nilai siswa tersebut adalah 15. Jika diumumkan tiga siswa memperoleh nilai 100, satu siswa memperoleh nilai 96, tiga siswa memperoleh nilai 90, serta dua siswa memperoleh nilai 86, maka nilai dua siswa yang belum diumumkan tersebut yang paling mungkin adalah",2,0,109
3,470,PK,"Amir berangkat ke sekolah jalan kaki sejauh 1,5 km dengan kecepatan rata-rata 50 meter per menit. Jika pintu gerbang sekolah ditutup tepat jam 07.30, jam berapa maksimal Amir harus berangkat dari rumah agar tidak tertutup pintu pagar sekolah ",1,3,74
3,559,PK,"If mean of 6 data are 8, and mean of 5 data are 8,5. The mean of 11 data are",3,2,55
3,295,PPU,"(1) Saat ini, pelaku UMKM harus melek masalah HAKI (hak atas kekayaan intelektual) dan merek.
(2) Bagaimanapun, merek menjadi hal yang sangat penting bagi pelaku UMKM agar produk yang dijualnya memiliki nilai jual yang tinggi.
(3) Sebagai contoh, sebuah produk tanpa merek dibandrol dengan harga Rp5.000,00.
(4) Namun, ketika sudah memiliki merek, harga produk tersebut bisa mencapai Rp40.000,00.
(5) Contoh itu menunjukkan bahwa merek berperan penting dalam meningkatkan nilai jual.
(6) Merek berfungsi sebagai pembeda di antara pesaing yang menjual produk serupa.
(7) Hal itulah yang menjadikan perlunya pelaku UMKM untuk mendaftarkan merek produknya.
(8) Dengan mendaftarkan merek produknya, ada jaminan kepada konsumen untuk membedakan satu produk dengan produk lainnya.
(9) Selain itu, perusahaan juga dapat membedakan produk-produk yang mereka miliki serta menjadikannya sebagai alat pemasaran dan dasar untuk membangun reputasi.

Kata melek pada kalimat (1) memiliki makna ....",1,3,57
3,592,PK,"Untuk bilangan bulat a, b dan c didefinisikan a*b*c = a + b. Nilai dari 1*2*3 adalah",3,2,104
3,174,PBM,"(1) Pusat Permodelan Matematika dan Simulasi (P2MS) Institut Teknologi Bandung (ITB) melakukan simulasi dan permodelan sederhana mengenai prediksi [....] virus corona atau Covid-19 di Indonesia. (2) Hasilnya, Indonesia diprediksi akan mengalami puncak kasus harian Covid-19 pada akhir Maret 2020 hingga pertengahan April 2020. Nuning, tim peneliti ITB, menjelaskan penelitian tersebut dilatarbelakangi kasus Covid-19 di Indonesia yang menjadi bagian pandemi global. (4) Kondisi ini melahirkan riuh rendah serta kontroversi, apakah tindakan yang diambil cukup untuk menangkal penyebaran atau berlebihan. (5) Kesimpangsiuran informasi tentang hal ini dikhawatirkan mengganggu usaha nyata untuk menanggulangi bencana yang sebenarnya. (6) Dalam penelitian yang menjadi jurnal ilmiah tersebut, tim peneliti membangun model representasi jumlah kasus Covid-19 dengan menggunakan model Richard’s Curve. (7) Model tersebut terbukti berhasil memprediksi awal, akhir, serta puncak pandemi SARS di Hong Kong pada 2003. (8) [....] memilih penelitian, mereka menguji berbagai data kasus Covid-19 terlapor dari berbagai negara, seperti China, Iran, Italia, Korea Selatan, dan Amerika Serikat, termasuk data akumulatif seluruh dunia.

Anda ingin menambahkan kalimat berikut pada teks tersebut.
Pandemi tersebut diperkirakan berakhir pada saat kasus harian baru terbesar berada di angka sekitar 600 pasien.
Di manakah letak yang tepat untuk kalimat tersebut",2,0,93
3,383,PPU,"Kondisi karang di wilayah kerja Balai Kawasan Konservasi Perairan Nasional (BKKPN) Kupang, yang meliputi delapan kawasan konservasi di Indonesia timur, mengalami kondisi keterancaman. Saat ini tutupan karang berkisar 18,55 persen–59,8 persen. Kondisi paling parah ditemukan di Taman Nasional Laut Sawu, Nusa Tenggara Timur (NTT) dengan luas terumbu karang mencapai 53.063 hektare dengan nilai tutupan hanya sekitar 18,55 persen.

Berkurangnya terumbu karang disebabkan oleh dua faktor, yaitu bencana alam dan aktivitas manusia. Jika dilihat dari perbandingan luas kerusakan, faktor aktivitas manusia lebih signifikan. Kegiatan penangkapan ikan menggunakan alat yang merusak tentu berpengaruh pada kerusakan terumbu karang. Selain itu, aktivitas pariwisata juga menyebabkan tekanan yang besar bagi ekosistem terumbu karang. Semakin tinggi kegiatan wisata di suatu daerah, semakin tinggi pula kerusakan ekosistem terumbu karang di wilayah tersebut.

Topik yang mungkin dibahas pada paragraf selanjutnya adalah",3,3,108
3,158,PBM,"Obat mujarab ini memiliki berbagai khasiat seperti melancarkan peredaran darah, [...] nafsu makan, dan meningkatkan stamina pria.
Kata berimbuhan yang tepat untuk mengisi kekosongan pada kalimat tersebut adalah",1,0,94
3,59,PU,"1, 0, 8, 3, 3, 7, 5, 6, 6, 7, 9, 5, 9, 12, x, y, z

Bilangan yang tepat untuk mengganti nilai x, y, dan z adalah",0,0,17
4,174,PBM,"(1) Pusat Permodelan Matematika dan Simulasi (P2MS) Institut Teknologi Bandung (ITB) melakukan simulasi dan permodelan sederhana mengenai prediksi [....] virus corona atau Covid-19 di Indonesia. (2) Hasilnya, Indonesia diprediksi akan mengalami puncak kasus harian Covid-19 pada akhir Maret 2020 hingga pertengahan April 2020. Nuning, tim peneliti ITB, menjelaskan penelitian tersebut dilatarbelakangi kasus Covid-19 di Indonesia yang menjadi bagian pandemi global. (4) Kondisi ini melahirkan riuh rendah serta kontroversi, apakah tindakan yang diambil cukup untuk menangkal penyebaran atau berlebihan. (5) Kesimpangsiuran informasi tentang hal ini dikhawatirkan mengganggu usaha nyata untuk menanggulangi bencana yang sebenarnya. (6) Dalam penelitian yang menjadi jurnal ilmiah tersebut, tim peneliti membangun model representasi jumlah kasus Covid-19 dengan menggunakan model Richard’s Curve. (7) Model tersebut terbukti berhasil memprediksi awal, akhir, serta puncak pandemi SARS di Hong Kong pada 2003. (8) [....] memilih penelitian, mereka menguji berbagai data kasus Covid-19 terlapor dari berbagai negara, seperti China, Iran, Italia, Korea Selatan, dan Amerika Serikat, termasuk data akumulatif seluruh dunia.

Anda ingin menambahkan kalimat berikut pada teks tersebut.
Pandemi tersebut diperkirakan berakhir pada saat kasus harian baru terbesar berada di angka sekitar 600 pasien.
Di manakah letak yang tepat untuk kalimat tersebut",1,0,92
4,207,PBM,"(1) Jalan-jalan utama di dalam Kelurahan Tajur harus diperbaiki dengan segera. (2) Perbaikan berhubungan dengan peningkatan mutu jalan. (3) Peningkatan mutu jalan tersebut dengan lapisan aspal beton setebal 4 cm dapat menaikkan ketahanannya hingga 5 s.d. 10 tahun. (4) Apalagi, Perumahan Bumi Serpong Damai terus dibangun. (5) Pertimbangan untuk langkah itu ialah mengingat akan sifatnya sebagai jalan ekonomi. (6) Juga menghindari kerusakan tiap tahun sebagai akibat frekuensi maupun bobot kendaraan yang melewatinya yang makin meningkat. (7) Hal ini dilakukan karena old contruction tidak sesuai lagi dengan beban yang ada sekarang. (8) Kehadiran jalan yang bermutu tinggi sangat memberikan manfaat bagi masyarakat luas. (9) Masyarakat menengah yang hidup di Kelurahan Tajur itu lebih banyak menggunakan Sepeda untuk bepergian ke pasar atau ke kota. (10) Tentu saja jalan tersebut berguna sekali bagi mereka.

Kalimat keenam merupakan kalimat tidak baku. Ketidak bakuan kalimat di atas disebabkan oleh",0,0,21
4,200,PBM,"(1) Di tengah masa pendaftararan pasangan capres dan cawapres untuk pilpres 2019, 4-10 Agustus 2018, masyarakat diributkan dengan beberapa capaian ekonomi pemerintahan Presiden Jokowi yang dianggap tidak sesuai ekspektasi atau janji yang telah disampaikannya di masa kampanye pilpres 2014 lalu. (2) Salah satu indikator ekonomi yang sering kali dibahas dan diributkan oleh pihak oposisi adalah pertumbuhan ekonomi yang jauh dari target awal, yaitu 7 persen atau meleset sedikit dari target Anggaran Pendapatan Belanja Negara (APBN). (3) Berdasarkan data statistik yang dikeluarkan oleh Badan Pusat Statistik (BPS), pertumbuhan ekonomi Indonesia cenderung stabil di kisaran angka 5 persen dalam 3 tahun terakhir. (4) Selain itu, juga memiliki tren meningkat meskipun tipis. (5) Bagi pihak oposisi, pencapaian yang tidak begitu menggembirakan ini menjadi sasaran tembak yang begitu empuk guna melemahkan posisi pemerintah yang berkuasa saat ini, khususnya di bidang ekonomi. (6) [....], jika dikaji lebih mendalam, struktur pertumbuhan ekonomi Indonesia justru mengalami perbaikan yang signifikan dalam beberapa tahun belakangan. (7) Yang sangat menonjol adalah pertumbuhan investasi dan ekspor yang masing-masing tumbuh 6,15 dan 9,09 persen pada 2017.

(8) Sementara itu, terkait pertumbuhan konsumsirumah tangga, pemerintah Indonesia telahberhasil menjaga pertumbuhan komponen ini dikisaran 5 persen. (9) Kondisi ini dapat terealisasi karena pemerintah mampu menjaga angka inflasi di bawah angka 4 persen sesuai dengan target APBN. (10) Terlebih lagi, menjelang Hari Raya Idul Fitri, pemerintah mampu menekan kenaikan harga-harga bahan pangan sehingga mampu meredam angka inflasi.

Paragraf pertama dalam teks tersebut seharusnya terdiri atas dua paragraf. Kalimat yang tepat untuk mengawali paragraf kedua adalah",0,0,65
4,76,PU,"Perkembangan teknologi informasi (TI) saat ini ternyata tidak dibarengi dengan filterisasi budaya masyarakat luar yang justru makin mendegradasikan nilai moral anak bangsa. (2) Penggunaan Facebook yang demikian masif ternyata disalahgunakan oleh beberapa pihak untuk melakukan penipuan. (3) Ada banyak kasus penipuan dimasyarakat melalui Facebook: mulai dari kasus gadis dibawa lari oleh orang yang baru dikenal melalui Facebook hingga kasus bunuh diri karena komentar di Facebook. (4) Seharusnya disadari bahwa, dunia maya hanya sekadar gambaran dan bukan realitas yang diciptakan. (5) Semua hal tersebut di dunia maya memang mudah untuk dilakukan. (6) Bahkan, berbagai komentar dan status yang seolah-olah “wah” di depan orang lain tidak hanya mudah mengelabui orang, tetapi juga merusak moral. (7) Tidak sedikit dari para pengguna jejaring sosial yang saling melontarkan komentar negatif dan merendahkan hanya karena status.

(8) Sementara, lewat televisi bisa didapatkan informasi secara lebih cepat. (9) Gambar-gambar yang ditunjukkan oleh televisi sudah mewakili informasi tentang suatu peristiwa yang ingin kita dapatkan. (10) Fungsi televisi sebagai media informasi dan hiburan ternyata tidak dibarengi dengan program-program yang mampu mendidik karakter bangsa. (12) Program televisi, seperti film dan sinetron, justru banyak disalah persepsikan oleh remaja saat ini. (13) Tampaknya, banyak film dan sinetron yang justru tidak bisa mengajarkan bertutur kata yang baik.

Manakah pertanyaan yang jawabannya tidak terdapat dalam teks",1,2,15
4,568,PK,"Diberikan 4 bangun datar: (1) segitiga sama kaki, (2) layang-layang, (3) persegi panjang, (4) belah ketupat. Banyaknya bangun yang memiliki tepat 2 simetri putar dan 2 simetri lipat adalah",0,2,63
4,513,PK,"Jika 𝑓(1) = 1, 𝑓(2) = 3 dan 𝑓(𝑛 + 2) = 𝑓(𝑛 + 1) + 𝑓(𝑛) dengan 𝑛 ≥ 0. Nilai 𝑓(4). 𝑓(5) adalah",0,3,61
