ID,Question_Category,Questions_Descriptions,Choice_1,Choice_2,Choice_3,Choice_4,Right_Answer
19,PU,"Semua pegawai negeri dapat berbahasa Inggris.
Beberapa pegawai negeri yang menduduki jabatan eselon satu pandai berpidato dalam bahasa Belanda.",Semua pegawai negeri yang dapat berbahasa Betanda menduduki jabatan eselon satu.,Semua pegawai negeri yang mend udukijabatan eselon pasti dapat berbahasa Inggris.,Beberapa pegawai negeri yang dapat berbahasa Inggris pasti tidak menduduki jabatan eselon.,Semua pejabat dapat berbahasa Belanda.,2
20,PU,"Semua dosen memiliki komputer.
Beberapa komputer para dosen dapat terkoneksi ke internet secara otomatis di area hotspot.",Semua dosen memiliki koneksi ke internet secara otomatis.,Komputer sama dengan hotspot.,"Jika di area hot spot, beberapa dosen dapat membuka e-mail dengan komputer mereka.",Komputer para dosen adalah komputer canggih.,2
21,PU,"Semua burung dapat terbang.
Kapal terbang juga dapat terbang. ",Kapal terbang adalah burung.,Tidak semua yang terbang adalah burung.,Kapal terbang dan burung sama-sama memerlukan bahan bakar untuk dapat terbang.,Beberapa burung dapat terbang secepat kapal terbang.,1
22,PU,"Semua ular memiliki bisa yang mematikan.
Ular piton tidak memiliki bisa.",Ular piton sebenarnya bukan ular.,Ular piton adalah ular langka.,Beberapa ular tidak memiliki bisa.,Ular berbisa ditakuti piton.,2
23,PU,"Semua pegawai negeri berpakaian seragam.
Sebagian pegawai negeri menggunakan dasi.",Sebagian pegawai negeri bersepatu.,Sebagian pegawai negeri berjas.,Sebagian pegawai negeri berseragam dan berdasi.,Sehagian pegawai negeri berseragam tapi tidak bersepatu.,2
24,PU,"Semua ikan dapat berenang di dalam air.
Ikan terbang dapat terbang di atas air.",Semua ikan dapat terbang.,"Kecuali ikan terbang, semua ikan dapat berenang.",Sementara ikan dapat berenang dan terbang di atas air.,Semua ikan dapat bernafas di dalam air.,2
25,PU,"Semua dokter dapat membuat resep.
Beberapa dokter ahli kandungan adalah penggemar lukisan.",Semua dokter adalah dokter kandungan.,Semua dokter adalah penggemar lukisan.,Penggemar lukisan pastilah dokter kandungan.,Beberapa dokter kandungan yang dapat membuat resep adalah penggemar lukisan.,3
26,PU,"Semua penyanyi dapat bermain piano.
Semua pemain gitar adalah mahasiswa.",Sebagian penyanyi tidak dapat bermain gitar.,Sebagian mahasiswa tidak dapat bermain piano.,Semua penyanyi dan mahasiswa tidak dapat bermain drum.,Tidak dapat ditarik kesimpulan.,3
27,PU,Sebagian makanan di pasar harganya murah. Semua makanan di pasar rasanya enak,Semua yang di pasar enak.,Tidak ada makanan yang tak enak.,Semua makanan di pasar harganya tidak murah.,Sebagian yang rasanya enak harganya murah.,3
28,PU,Semua muslimah berJilbab. Sebagian muslimah sudah naik haji,Sebagian yang sudah naik haji berjilbab.,Semua yang berjilbab sudah naik haji.,Tidak ada haji yang berjilbab.,Semua muslimah sudah naik haji.,0
29,PU,"Dalam sebuah acara reuni sekolah, diketahui bahwa Irma lebih tua daripada Reni dan Dita leblh muda daripada Reni. Jadi",Irma lebih tua daripada Dita.,Irma lebih muda daripada Dita.,Reni lebih muda daripada Dita.,Dita seusia dengan Reni.,0
30,PU,Dalam sebuah rumah makan disediakan beberapa varian menu ayam dengan harga yang bervariasi. Paket Ayam Pop 1 lebih mahal dibanding Paket Ayam Pop 2; Paket Ayam Pop 3 lebih mahal daripada Paket ayam Pop 2. Mana dari pernyataan berikut yang benar,Paket Ayam Pop 1 lebih mahal dibanding Paket Ayam Pop 3.,Paket Ayam Pop 3 lebih mahal dibanding Paket Ayam Pop 1.,A. Harga Paket Ayam Pop 1 ditambah harga Paket Ayam Pop 2 lebih besar dibanding harga Paket Ayam Pop 1 ditambah harga Paket Ayam Pop 3.,Harga Paket Ayam Pop 2 lebih kecil dibanding rata-rata harga Paket Ayam Pop 1 dan harga Paket Ayam Pop 3.,3
31,PU,"Kadar gula yang tinggi dalam darah meningkatkan risiko penyakit kardiovaskular. Upaya untuk mencegah meningkatnya kadar gula dalam darah dapat dicegah dengan diet karbohidrat. Risiko terjadinya penyakit kardiovaskular dapat berkurang jika jumlah karbohidrat yang dikonsumsi dapat dikendalikan. Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI BENAR?",Menerapkan diet karbohidrat dapat meningkatkan kadar gula dalam darah,Konsumsi karbohidrat dapat menurunkan kadar gula dalam darah,Risiko penyakit kardiovaskular berkurang jika diet karbohidrat diterapkan,Menerapkan diet karbohidrat masih memiliki risiko penyakit kardiovaskular,2
32,PU,Sebagian siswa tidak meraih nilai ujian tinggi jika mereka tidak belajar dengan tekun. Kondisi tersebut terjadi ketika siswa tidak berdisiplin dalam mengatur waktu. Manakah kesimpulan berikut yang BENAR,Sebagian siswa tidak meraih nilai ujian tinggi apabila berdisiplin dalam mengatur waktu,Sebagian siswa meraih nilai ujian tinggi apabila tidak berdisiplin dalam mengatur waktu,Sebagian siswa tidak meraih nilai ujian tinggi apabila tidak berdisiplin dalam mengatur waktu,Siswa berdisiplin dalam mengatur waktu apabila sebagian siswa meraih nilai ujian tinggi,2
33,PU,"Seorang mahasiswa X harus bekerja tambahan setelah pulang kuliah. Pekerjaan tambahan tersebut menyebabkan waktu belajarnya berkurang. Meskipun X hanya bekerja di waktu malam, perkuliahannya tetap terganggu karena waktu belajarnya berkurang. Berdasarkan informasi di atas, manakah pernyataan di bawah ini yang BENAR",X bekerja pada malam hari karena perkuliahannya terganggu,Pekerjaan tambahan menyebabkan perkuliahan X terganggu,Jam kerja di malam hari menyebabkan X mencari pekerjaan tambahan,X mencari pekerjaan tambahan ketika jam belajarnya berkurang,1
34,PU,"Ketika sering belajar di perpustakaan, siswa X dapat mencapai hasil belajar yang lebih baik. Namun, ketika X belajar di rumah, hasil belajarnya cenderung kurang optimal. Manakah pernyataan berikut yang PALING MUNGKIN menjelaskan perbedaan kedua kondisi tersebut",Perpustakaan menyediakan lebih banyak buku pelajaran,Siswa X dapat berinteraksi dengan teman sebaya ketika belajar di rumah,Siswa X sering terganggu oleh kebisingan di sekitar perpustakaan,Siswa X merasa lebih nyaman belajar di rumah daripada di perpustakaan,0
35,PU,Kacang merah memiliki kandungan gizi yang sangat baik dan menguntungkan bagi kesehatan tubuh manusia jika diolah secara benar. Bentuk ke-an pada kata kesehatan dalam kalimat ini mempunyai kesamaan makna dengan,Ilmu kelautan berperan penting dalam memajukan wilayah dengan banyak pulau,Kesejahteraan masyarakat desa itu terlihat dari megahnya rumah penduduknya,Penduduk yang mendiami kepulauan tersebut sangat ramah dengan para pendatang,Pertemuan rutin bulan ini akan dilaksanakan di kediaman kepala desa,1
36,PU,"elihat kucing tiba-tiba mengonsumsi rumput menimbulkan rasa kekhawatiran. Tak jarang juga para pemilik kucing mencoba mencegah kelakuan kucingnya yang tiba-tiba mengunyah rumput liar di sekitaran rumah. Sebuah penelitian mengatakan bahwa hal ini dilakukan karena tanaman yang tidak dapat dicerna kucing itu justru dapat membersihkan pencernaannya dari cacing parasit dengan memuntahkannya.

Manakah pernyataan berikut yang akan MEMPERKUAT hasil penelitian tersebut",Rumput menjadi makanan sehat bagi kucing karena mudah dicerna.,Kucing yang muntah setelah memakan rumput memiliki usia yang lebih panjang.,Kucing yang memakan rumput memiliki cacing parasit dalam organ pencernaannya.,Pemilik kucing rajin memberikan rumput untuk membersihkan cacing parasit pada kucing.,1
37,PU,"PT Eka Sari Lorena Transport Tbk mencatatkan bahwa keseluruhan nilai beban perusahaan dari layanan bus antarkota antar provinsi (AKAP) itu lebih tinggi ketimbang pendapatan pada masa pandemi. PT Weha Transportasi Indonesia Tbk, perusahaan layanan bus pariwisata, mengemukakan terjadinya perubahan pendapatan dari Rp71,9 miliar menjadi Rp70,5 miliar. Perusahaan taksi PT Blue Bird Tbk, pendapatannya rontok 49,4 persen menjadi Rp2,1 triliun pada periode yang sama. Perusahaan taksi lain, PT Express Transindo Utama, berhasil menurunkan nilai kerugian pada 2020 lalu menjadi Rp53,2 miliar dari sebelumnya Rp276,1 miliar.

Pernyataan berikut ini yang tepat untuk dijadikan KESIMPULAN dari wacana tersebut adalah",Transportasi publik menjadi salah satu sektor usaha yang ikut terdampak pandemi Covid-19.,Pendapatan perusahaan bus pariwisata pada tahun pandemi menurun lebih dari 50 persen.,Pendapatan perusahaan taksi tidak sebanding dengan beban perusahaan sehingga mengalami kerugian.,"Selama masa Pembatasan Sosial Berskala Besar (PSBB), semua jenis transportasi darat mengalami kerugian.",0
38,PU,"“Spider-Man: No Way Home” meraup 50 juta dolar AS (sekitar 719 miliar rupiah) di bioskop AS dan Kanada selama pekan penayangan perdananya. Hasil penjualan ini memecahkan rekor selama era pandemi. Analis box office memperkirakan total penerimaan domestik ‘No Way Home’ hingga akhir pekan mencapai 240 juta dolar AS. Ini sama saja menempatkan film ini di posisi lima besar film debut sepanjang masa.

“Film Spider-Man: No Way Home” menekankan pada dilema Parker setelah difitnah dan identitasnya dibongkar oleh Mysterio yang diperankan oleh Jake Gyllenhaal. Kritikus film menyambut hangat kisah Parker dan kawan-kawan. Terbukti pada Jumat kemarin, 95 persen dari 220 ulasan di Rotten Tomatoes menilai positif “Spider-Man No Way Home”.

Pernyataan berikut yang TIDAK SESUAI dengan teks di atas adalah",Spider-Man: No Way Home mendapatkan 11 ulasan negatif di Rotten Tomatoes.,Film “Spider-Man: No Way Home” adalah film dengan penjualan tertinggi di masa pandemi Covid-19.,"Penerimaan domestik “Spider-Man: No Way Home” hingga akhir pekan penayangan perdana diperkirakan mencapai 3,6 Triliun.",“Spider-Man: No Way Home” menceritakan tentang masalah yang dialami Spider-Man setelah difitnah dan dibongkar identitasnya.,2
39,PU,"Dinda tidak mengikuti kursus mengemudi atau Dinda dapat mengendarai mobil.
Jika Dinda dapat mengendarai mobil, maka Dinda bisa jalan-jalan ke Yogyakarta.

Simpulan yang tepat dari dua pernyataan tersebut adalah",Dinda mengikuti kursus mengemudi atau Dinda bisa jalan-jalan ke Yogyakarta.,Dinda mengikuti kursus mengemudi atau Dinda tidak bisa jalan-jalan ke Yogyakarta.,"Jika Dinda mengikuti kursus mengemudi, maka Dinda bisa jalan-jalan ke Yogyakarta.","Jika Dinda tidak mengikuti kursus mengemudi, maka Dinda bisa jalan-jalan ke Yogyakarta.",2
40,PU,"Berdasarkan data nilai matematika siswa di suatu sekolah, diketahui nilai Ahmad lebih tinggi dari nilai Bima. Nilai Dimas tidak lebih tinggi dari nilai Fina, tetapi lebih tinggi daripada nilai Erin. Nilai Bima sedikit lebih tinggi dari nilai Cici. Jika nilai Cici lebih tinggi dari nilai Fina, maka pernyataan berikut yang pasti benar adalah",Nilai kedua terendah didapat oleh Erin.,Nilai Cici lebih rendah dari nilai Dimas.,Nilai Dimas berada di urutan ketiga tertinggi.,Dimas memiliki nilai yang lebih rendah dari nilai Bima.,3
41,PU,"Semua siswa diminta mempersiapkan diri untuk ulangan.
Beberapa siswa tidak mempersiapkan diri.

Kesimpulan yang tepat adalah",Semua siswa mempersiapkan diri dan mendapat nilai baik,Sebagian siswa tidak mempersiapkan diri dan tidak mendapat nilai baik,Beberapa siswa mempersiapkan diri,Semua siswa mempersiapkan diri,2
42,PU,"Tidak ada bunga mawar kecuali berwarna putih dan ungu.
Lisa menerima bunga bukan putih, bukan merah.

Kesimpulan yang tepat tentang bunga yang diterima oleh Lisa adalah",Bunga mawar putih,Bunga mawar ungu,Bunga bukan mawar,Bunga bukan mawar putih,3
43,PU,"Makhluk laut yang bernapas dengan insang adalah ikan. 
Lumba-lumba adalah makhluk laut yang bernapas dengan paru-paru.

Kesimpulan yang tepat adalah",Semua lumba-lumba termasuk jenis ikan yang hidup di laut,Semua lumba-lumba dan ikan adalah makhluk hidup di laut,Sebagian lumba-lumba termasuk jenis ikan yang hidup di laut,Semua ikan termasuk jenis lumba-lumba yang hidup di laut,1
44,PU,"Setiap anggota kelompok A adalah anggota kelompok B.
Setiap anggota kelompok B adalah anggota kelompok C.

Simpulan yang tepat tentang kemungkinan keanggotaan A, B dan C adalah",Mungkin ada anggota kelompok C yang bukan merupakan anggota A.,Tidak mungkin ada anggota kelompok A yang merupakan anggota kelompok C,Mungkin ada anggota kelompok A yang bukan merupakan anggota C,Tidak mungkin ada anggota kelompok C yang merupakan anggota A.,0
45,PU,"Jimin, Jungkook, Taehyung, Yoongi dan Seokjin sedang mengikuti sebuah tes dan memperoleh hasil sebagai berikut:

1. Nilai Taehyung lebih tinggi daripada nilai Jimin dan dua kali nilai Jungkook
2. Jika nilai Jimin dan Jungkook ditambahkan, hasilnya sama dengan nilai Yoongi
3. Nilai Jimin lebih besar daripada nilai Seokjin, namun hanya sepertiga nilai Yoongi

Urutan lima siswa yang memiliki nilai tertinggi ke nilai terendah adalah","Taehyung, Yoongi, Jungkook, Jimin, Seokjin","Taehyung, Yoongi, Jimin, Jungkook, Seokjin","Yoongi, Taehyung, Jungkook, Jimin, Seokjin","Yoongi, Jungkook, Taehyung, Jimin, Seokjin",0
46,PU,"Gejala terinfeksi virus corona berbeda-beda, bergantung bagian tubuh yang diserang virus. Jika virus berbiak di saluran pernapasan, penderita Covid-19 bisa mengalami batuk. Sementara itu, jika virus berkembang di saluran cerna, penderita bisa diare. Virus corona SARS-CoV-2 bisa masuk ke tubuh dengan menempel pada protein yang disebut reseptor ACE2. Reseptor ini paling banyak terdapat di paru-paru. Itu sebabnya, Covid-19 jamak dianggap sebagai penyakit pernapasan. Jumlah reseptor ACE2 terbanyak kedua ada di usus sehingga banyak orang yang terinfeksi virus corona mengalami diare. Virus corona dapat berasal dari cipratan batuk, bersin, atau ludah (droplet) seorang penderita. Ketika droplet ini masuk ke mulut seseorang, virusnya akan singgah sesaat di tenggorokan. Dari tenggorokan, virus bisa berpindah ke paru-paru ketika seseorang menarik napas. Jika seseorang refleks menelan, virusnya berpindah ke perut.

Berdasarkan paragraf, simpulan yang BENAR adalah","Virus corona hanya menyerang bagian tubuh tertentu, yaitu saluran pernapasan dan saluran cerna.",Virus corona dapat berkembang di bagian saluran cerna yang dapat menyebabkan konstipasi.,"Saat berkembang di saluran pernapasan, virus corona akan menimbulkan batuk dan pernapasan cepat.",Virus corona dapat menyebabkan diare karena dapat menempel di reseptor ACE 2 yang berada di saluran pencernaan.,3
47,PU,"Sistem daya tahan tubuh bawaan bekerja dengan memuat virus dan menghambat virus berbiak di banyak tempat. Proses ini sekaligus memberikan kesempatan bagi imun susulan (imun adaptif ) untuk bersiap-siap menghadapi serangan lain sebelum virus sulit dikendalikan. Imun yang adaptif ini sudah mengadung antibodi virus dan sel T yang dikembangkan secara alami oleh tubuh sehingga daya tahan tubuh lebih mudah mengenali dan menghancurkan virus.Antibodi ini nantinya juga memberikan kekebalan dan melindungi orang agar tidak terinfeksi virus corona lagi setelah mengidap Covid-19. Akan tetapi, bagi kaum lansia, pengidap penyakit kronis,dan gangguan kekebalan tubuh, kondisinya bisa berbeda. Virus corona bisa berbiak dan menyebar dengan cepat sebelum sistem daya tahan tubuh bisa mengendalikannya.

Berdasarkan paragraf, simpulan yang PALING BENAR adalah","Imun bawaan bertugas menghambat virus berbiak di suatu tempat, sedangkan imun susulan bertugas menghalau virus ketika virus sudah sulit dikendalikan.","Imun bawaan dan imun susulan bertugas memuat, menghambat, dan menyerang virus ketika virus belum sulit dikendalikan.",Imun bawaan dapat menghambat virus berbiak karena mengandung antibodi dan sel T yang terdapat dalam tubuh.,Imun susulan yang mengandung antibodi bekerja menghadapi serangan virus sebelum berbiak tidak terkendali ketika imun bawaan sedang memuat dan menghambat virus berbiak.,3
48,PU,"Kondisi rentan tersebut juga bisa terjadi pada dokter dan perawat. Mereka bisa terpapar virus corona berkali-kali dalam sehari. Semakin banyak virus, tubuh semakin sulit mengelola sistem imun. Bahkan, tim medis dalam kondisi sehat dan muda juga bisa mengalami infeksi yang parah dengan paparan virus yang cukup intens di tengah pandemi ini. Kelompok paling rentan selama pandemi Covid-19 adalah kaum lansia, karena sistem daya tahan tubuhnya mulai melemah seiring pertambahan usia. Sistem daya tahan tubuh yang lemah dapat menyebabkan respons awal imun terlambat dan respons imun susulan tertunda. Sehingga, virus bisa berbiak dan menyebar ke sel lain tanpa kendali. Salah satu cara terbaik mencegah infeksi virus corona adalah memperkuat daya tahan tubuh, rajin cuci tangan, dan jaga jarak dengan sekitar agar tidak tertular.

Berdasarkan paragraf, simpulan yang BENAR adalah","Jika tubuh semakin sulit mengelola sistem imun, maka virus akan semakin banyak.","Jika virus tidak semakin banyak, tubuh tidak semakin sulit mengelola sistem imun.","Jika virus semakin banyak, tim medis akan terinfeksi semakin parah.","Jika tubuh tidak semakin sulit mengelola sistem imun, virus tidak semakin banyak.",3
49,PU,"Antibiotik bekerja dengan menghambat mekanisme bakteri untuk bisa hidup dan berkembang biak. Setiap antibiotik memiliki cara kerja yang berbeda, misalnya merusak dinding sel bakteri atau merusak cara bakteri memperbanyak diri. Antibiotik dibedakan berdasarkan kemampuannya membunuh bakteri. Ada antibiotik spektrum luas yang membunuh hampir semua jenis bakteri, contohnya amoksisilin dan gentamisin. Namun, ada juga yang hanya mampu membunuh beberapa tipe bakteri saja. Ini disebut antibiotik spektrum sempit, contohnya penisilin.

Berdasarkan paragraf tersebut, simpulan yang BENAR adalah",Tidak ada satu pun jenis antibiotik yang memiliki mekanisme kerja yang sama dalam menghambat mekanisme bakteri untuk hidup dan berkembang biak.,Semua antibiotik memiliki fungsi yang sama dalam menghambat mekanisme bakteri untuk hidup dan berkembang biak.,Beberapa antibiotik memiliki mekanisme yang berbeda dalam menghambat perkembangan bakteri.,Tidak ada antibiotik yang tidak dapat digunakan untuk membunuh semua bakteri.,0
50,PU,"Layaknya obat lain, antibiotik memiliki efek samping. Jika antibiotik diberikan dengan tepat sesuai indikasi, tentu manfaat lebih besar daripada efek sampingnya. Jika diberikan dengan tidak tepat dan tidak sesuai indikasi, maka lebih banyak terdapat risiko dan efek samping. Sekitar 10% pasien sesudah konsumsi antibiotik dilaporkan mengalami berbagai efek samping, mulai dari gangguan pencernaan seperti diare dan muntah, atau timbul infeksi jamur di mulut atau di Miss V. Beberapa pasien dilaporkan mengalami reaksi alergi seperti kemerahan di kulit, demam hingga sesak napas.

Berdasarkan paragraf tersebut, jika antibiotik diberikan dengan tepat sesuai indikasi atau tidak sesuai indikasi yang BENAR adalah","Manfaatnya lebih besar daripada efek sampingnya, tetapi lebih besar risikonya.",Manfaatnya dan risikonya sama besar daripada efek sampingnya.,Manfaatnya lebih besar daripada efek sampingnya atau lebih banyak risiko dan efek sampingnya.,Manfaatnya lebih besar dari risiko atau efek sampingnya.,2
51,PU,"Pajak merupakan pungutan wajib yang dibebankan kepada masyarakat (individu dan badan) sesuai dengan kemampuan ekonomis yang dimiliki. Pajak juga merupakan peralihan kekayaan dari sektor rakyat ke sektor pemerintah untuk membiayai pengeluaran negara. Pajak menekankan pada unsur pemaksaan dalam pemungutannya. Wajib pajak akan dipaksa membayar dan dikenai sanksi apabila tidak melakukan pembayaran pajak. Mereka akan dikenakan sanksi atau denda. Walaupun wajib pajak berpandangan bahwa membayar pajak sangat berat, kewajiban membayar pajak harus tetap dilaksanakan. Hasil penelitian mengatakan bahwa motivasi wajib pajak melaksanakan kewajiban perpajakannya semata-mata karena takut akan sanksi dan denda administrasi, takut akan dilakukan pemeriksaan, dan masalah tarif pajak.

Berdasarkan paragraf di atas, jika wajib pajak tidak membayar pajak, simpulan yang BENAR adalah ","Wajib pajak dipaksa membayar, tetapi tidak akan dikenai sanksi.",Wajib pajak dipaksa membayar dan dikenai sanksi.,Wajib pajak dipaksa membayar atau dikenai sanksi.,Wajib pajak tidak dipaksa membayar dan tidak dikenai sanksi.,1
52,PU,"Pengenaan sanksi perpajakan diberlakukan untuk menciptakan kepatuhan wajib pajak dalam melaksanakan kewajiban perpajakan. Pemberian sanksi yang memberatkan wajib pajak bertujuan memberikan efek jera sehingga tercipta kepatuhan pajak. Namun, pengetahuan wajib pajak akan sanksi pajak masih sangat minim sehingga pemerintah perlu berperan aktif untuk menyosialisasikan dengan baik mengenai peraturan dan sanksi dalam perpajakan serta mempertegas sanksi-sanksi dalam perpajakan. Apabila pemerintah memberikan pemahaman mengenai peraturan dalam perpajakan dan dapat menerapkan sanksi yang lebih tegas bagi wajib pajak yang tidak mematuhi peraturan, wajib pajak akan lebih taat membayar pajak sehingga penerimaan pajak dapat lebih maksimal setiap tahunnya.

Berdasarkan paragraf tersebut, simpulan yang PALING BENAR adalah",Wajib pajak tidak mematuhi kewajiban membayar pajak karena masalah ekonomi.,Wajib pajak tidak mematuhi kewajiban membayar pajak karena pemerintah telah mengabaikan mereka.,Wajib pajak tidak mematuhi kewajiban membayar pajak karena kekurangtahuan mereka akan sanksi perpajakan.,Wajib pajak tidak mematuhi kewajiban membayar pajak karena mereka mengabaikan imbauan pemerintah tentang sanksi perpajakan.,2
53,PU,"Pengenaan sanksi perpajakan diberlakukan untuk menciptakan kepatuhan wajib pajak dalam melaksanakan kewajiban perpajakan. Pemberian sanksi yang memberatkan wajib pajak bertujuan memberikan efek jera sehingga tercipta kepatuhan pajak. Namun, pengetahuan wajib pajak akan sanksi pajak masih sangat minim sehingga pemerintah perlu berperan aktif untuk menyosialisasikan dengan baik mengenai peraturan dan sanksi dalam perpajakan serta mempertegas sanksi-sanksi dalam perpajakan. Apabila pemerintah memberikan pemahaman mengenai peraturan dalam perpajakan dan dapat menerapkan sanksi yang lebih tegas bagi wajib pajak yang tidak mematuhi peraturan, wajib pajak akan lebih taat membayar pajak sehingga penerimaan pajak dapat lebih maksimal setiap tahunnya.

Berdasarkan paragraf tersebut, jika wajib pajak tidak taat membayar pajak, simpulan yang BENAR adalah",Setiap tahun penerimaan pajak tidak maksimal.,Pemerintah tidak memberikan pemahaman peraturan perpajakan dan tidak menerapkan sanksi yang lebih tegas.,Penerimaan pajak tidak maksimal karena pemerintah tidak tegas dalam menerapkan sanksi perpajakan.,Pemerintah tidak memberikan pemahaman tentang peraturan perpajakan atau tidak menerapkan sanksi secara lebih tegas.,3
54,PU,"Sanksi akibat tidak membayar pajak bisa sampai kepada penyanderaan. Ini adalah sanksi terakhir atau terberat yang diberikan untuk mereka yang dengan sengaja tidak mau membayar pajak. Selain itu, masih ada sanksi-sanksi lainnya yang harus dipahami, yaitu sanksi administrasi dan sanksi pidana. Sanksi administratif adalah sanksi terlumrah dan terendah yang diberikan bagi wajib pajak yang tidak taat pajak. Sanksi ini meliputi beberapa bagian yaitu bunga, denda, dan kenaikan. Sanksi pidahan adalah sanksi terberat yang harus diterima bagi wajib pajak yang membandel. Sanksi ini diberikan bagi pelanggaran berat yang menimbulkan kerugian pada pendapatan negara serta dilakukan lebih dari satu kali. Contoh pelanggaran berat yang dimaksud adalah seperti pengusaha yang menerbitkan faktur pajak dan memungut PPN tetapi tidak melaporkan kegiatan usahanya tersebut sehingga pajak yang dipungut tidak diberikan pada negara.

Berdasarkan paragraf tersebut, simpulan yang MUNGKIN PALING BENAR adalah",Sanksi administrasi diberikan kepada wajib pajak yang terlambat membayar pajak.,Sanksi administrasi yang berupa denda dikenakan kepada wajib pajak yang mencuri pajak negara.,Sanksi pidana tidak pernah dikenakan kepada wajib pajak yang sengaja tidak membayar pajak.,Sanksi perpajakan hanya dikenakan kepada wajib pajak yang sengaja tidak membayar pajak.,0
55,PU,"Kasus penyalahgunaan narkoba di Indonesia meningkat setiap tahunnya. Berdasarkan data Badan Narkotika Nasional (BNN) di tahun 2015, kenaikan persentase pengguna narkoba di Indonesia mencapai 40%. Tahun 2016 lalu, tercatat bahwa kasus penyalahgunaan narkoba terjadi antara 40 sampai 50 per hari, dan tahun 2017menjadi 57 kasus per hari. Angka penyalahgunaan narkoba di kalangan pelajar atau mahasiswa ditahun 2018 (dari 13 ibukota provinsi di Indonesia) mencapai angka 2,29 juta orang dengan kelompok rawan terpapar adalah mereka yang berada pada rentang usia 15 – 35 tahun.

Berdasarkan paragraf tersebut, apa yang MUNGKIN TERJADI pada tahun 2019 adalah",Kasus penyalahgunaan nar koba mencapai lebih dari 40% dari jumlah penduduk Indonesia.,Pelajar dan mahasiswa menjadi penyumbang terbanyak pada kasus penyalahgunaan narkoba.,Kasus penyalahgunaan narkoba di Indonesia akan didominasi kalangan mahasiswa daripada pelajar.,Jumlah kasus penyalahgunaan narkoba di kalangan mahasiswa dan pelajar akan meningkat lebih dari 57 kasus per hari.,3
