ID,Question_Category,Questions_Descriptions,Choice_1,Choice_2,Choice_3,Choice_4,Right_Answer
642,BI,"Untuk sebagian besar spesies hewan, jumlah individu dalam spesies berbanding terbalik dengan ukuran tubuh rata-rata anggota spesies: semakin kecil ukuran tubuh, semakin besar jumlah individu hewan. Tamarin, monyet kecil Amerika Selatan, melanggar aturan ini. Dari sepuluh spesies primata yang dipelajari di Taman Nasional Manu Peru, misalnya, dua spesies tamarin, punggung pelana, dan kaisar, masing-masing menempati urutan kedelapan dan kesembilan yang paling tidak melimpah. Hanya marmoset kerdil, yang lebih kecil lagi, yang jumlahnya lebih sedikit. Kelangkaan tamarin tidak mudah dijelaskan; itu tidak dapat diabaikan sebagai konsekuensi dari diet, karena tamarin memakan campuran buah, nektar, dan mangsa kecil yang sama seperti yang dilakukan beberapa rekan mereka yang lebih besar, termasuk dua capuchin yang dikenal sebagai monyet tupai dan monyet malam. Meskipun proporsi relatif buah yang dikonsumsi agak bervariasi di antara spesies, sulit membayangkan bahwa perbedaan halus seperti itu sangat penting untuk memahami kelangkaan relatif tamarin. Untuk menekankan betapa langkanya tamarin, kita dapat membandingkannya dengan primata omnivora lainnya di komunitas. Dalam hal jumlah individu per kilometer persegi, peringkat mereka jauh di bawah dua capuchin, monyet tupai, dan monyet malam. Dan dalam hal biomassa, atau berat total individu yang menempati satu unit area habitat, setiap spesies tamarin hadir hanya seperdua puluh massa capuchin coklat atau sepersepuluh massa monyet tupai. Untuk mendapatkan perspektif lain, pertimbangkan persyaratan spasial tamarin. Tamarin sangat teritorial, dengan penuh semangat mengusir setiap penyusup yang mungkin tersesat di dalam batas-batas domain mereka yang ditentukan dengan tajam. Kelompok menginvestasikan sebagian besar waktu dan energi mereka untuk berpatroli di batas wilayah mereka, mengumumkan kehadiran mereka kepada tetangga mereka dengan teriakan melengking dan menyapu. Teritorial terpadu seperti itu agak luar biasa di antara primata, meskipun owa dan siamang Asia menunjukkannya, seperti halnya beberapa spesies Dunia Baru lainnya seperti titi dan monyet malam. Monyet titi secara rutin hidup dalam wilayah seluas 6 hingga 2 hektar, dan monyet malam jarang bertahan lebih dari 10 hektar, tetapi kelompok tamarin secara rutin menempati 30 hingga 120 hektar. Yang paling mengejutkan tentang wilayah tamarin adalah ukurannya. Bandingkan ini dengan 1 hingga 2 hektar yang dibutuhkan oleh tupai abu-abu Amerika Utara biasa, mamalia nonteritorial dengan ukuran yang hampir sama. Sekelompok tamarin menggunakan ruang yang sama banyaknya dengan pasukan capuchin coklat, meskipun yang terakhir memiliki berat 15 kali lipat. Jadi, selain langka, tamarin membutuhkan ruang yang tampaknya benar-benar tidak proporsional dengan ukurannya.
Penulis kemungkinan besar menganggap tamarin yang dipelajari di Taman Nasional Manu sebagai...",spesies yang terancam punah,tamarin yang khas,luar biasa jinak,primata yang paling tidak biasa di mana pun,1
643,BI,"Untuk sebagian besar spesies hewan, jumlah individu dalam spesies berbanding terbalik dengan ukuran tubuh rata-rata anggota spesies: semakin kecil ukuran tubuh, semakin besar jumlah individu hewan. Tamarin, monyet kecil Amerika Selatan, melanggar aturan ini. Dari sepuluh spesies primata yang dipelajari di Taman Nasional Manu Peru, misalnya, dua spesies tamarin, punggung pelana, dan kaisar, masing-masing menempati urutan kedelapan dan kesembilan yang paling tidak melimpah. Hanya marmoset kerdil, yang lebih kecil lagi, yang jumlahnya lebih sedikit. Kelangkaan tamarin tidak mudah dijelaskan; itu tidak dapat diabaikan sebagai konsekuensi dari diet, karena tamarin memakan campuran buah, nektar, dan mangsa kecil yang sama seperti yang dilakukan beberapa rekan mereka yang lebih besar, termasuk dua capuchin yang dikenal sebagai monyet tupai dan monyet malam. Meskipun proporsi relatif buah yang dikonsumsi agak bervariasi di antara spesies, sulit membayangkan bahwa perbedaan halus seperti itu sangat penting untuk memahami kelangkaan relatif tamarin. Untuk menekankan betapa langkanya tamarin, kita dapat membandingkannya dengan primata omnivora lainnya di komunitas. Dalam hal jumlah individu per kilometer persegi, peringkat mereka jauh di bawah dua capuchin, monyet tupai, dan monyet malam. Dan dalam hal biomassa, atau berat total individu yang menempati satu unit area habitat, setiap spesies tamarin hadir hanya seperdua puluh massa capuchin coklat atau sepersepuluh massa monyet tupai. Untuk mendapatkan perspektif lain, pertimbangkan persyaratan spasial tamarin. Tamarin sangat teritorial, dengan penuh semangat mengusir setiap penyusup yang mungkin tersesat di dalam batas-batas domain mereka yang ditentukan dengan tajam. Kelompok menginvestasikan sebagian besar waktu dan energi mereka untuk berpatroli di batas wilayah mereka, mengumumkan kehadiran mereka kepada tetangga mereka dengan teriakan melengking dan menyapu. Teritorial terpadu seperti itu agak luar biasa di antara primata, meskipun owa dan siamang Asia menunjukkannya, seperti halnya beberapa spesies Dunia Baru lainnya seperti titi dan monyet malam. Monyet titi secara rutin hidup dalam wilayah seluas 6 hingga 2 hektar, dan monyet malam jarang bertahan lebih dari 10 hektar, tetapi kelompok tamarin secara rutin menempati 30 hingga 120 hektar. Yang paling mengejutkan tentang wilayah tamarin adalah ukurannya. Bandingkan ini dengan 1 hingga 2 hektar yang dibutuhkan oleh tupai abu-abu Amerika Utara biasa, mamalia nonteritorial dengan ukuran yang hampir sama. Sekelompok tamarin menggunakan ruang yang sama banyaknya dengan pasukan capuchin coklat, meskipun yang terakhir memiliki berat 15 kali lipat. Jadi, selain langka, tamarin membutuhkan ruang yang tampaknya benar-benar tidak proporsional dengan ukurannya.
Manakah dari berikut ini yang TIDAK disebutkan dalam bagian ini sebagai spesies yang kelompoknya menunjukkan teritorial?",Owa,Siamang,Titi monyet,Monyet tupai,1
644,BI,"Untuk sebagian besar spesies hewan, jumlah individu dalam spesies berbanding terbalik dengan ukuran tubuh rata-rata anggota spesies: semakin kecil ukuran tubuh, semakin besar jumlah individu hewan. Tamarin, monyet kecil Amerika Selatan, melanggar aturan ini. Dari sepuluh spesies primata yang dipelajari di Taman Nasional Manu Peru, misalnya, dua spesies tamarin, punggung pelana, dan kaisar, masing-masing menempati urutan kedelapan dan kesembilan yang paling tidak melimpah. Hanya marmoset kerdil, yang lebih kecil lagi, yang jumlahnya lebih sedikit. Kelangkaan tamarin tidak mudah dijelaskan; itu tidak dapat diabaikan sebagai konsekuensi dari diet, karena tamarin memakan campuran buah, nektar, dan mangsa kecil yang sama seperti yang dilakukan beberapa rekan mereka yang lebih besar, termasuk dua capuchin yang dikenal sebagai monyet tupai dan monyet malam. Meskipun proporsi relatif buah yang dikonsumsi agak bervariasi di antara spesies, sulit membayangkan bahwa perbedaan halus seperti itu sangat penting untuk memahami kelangkaan relatif tamarin. Untuk menekankan betapa langkanya tamarin, kita dapat membandingkannya dengan primata omnivora lainnya di komunitas. Dalam hal jumlah individu per kilometer persegi, peringkat mereka jauh di bawah dua capuchin, monyet tupai, dan monyet malam. Dan dalam hal biomassa, atau berat total individu yang menempati satu unit area habitat, setiap spesies tamarin hadir hanya seperdua puluh massa capuchin coklat atau sepersepuluh massa monyet tupai. Untuk mendapatkan perspektif lain, pertimbangkan persyaratan spasial tamarin. Tamarin sangat teritorial, dengan penuh semangat mengusir setiap penyusup yang mungkin tersesat di dalam batas-batas domain mereka yang ditentukan dengan tajam. Kelompok menginvestasikan sebagian besar waktu dan energi mereka untuk berpatroli di batas wilayah mereka, mengumumkan kehadiran mereka kepada tetangga mereka dengan teriakan melengking dan menyapu. Teritorial terpadu seperti itu agak luar biasa di antara primata, meskipun owa dan siamang Asia menunjukkannya, seperti halnya beberapa spesies Dunia Baru lainnya seperti titi dan monyet malam. Monyet titi secara rutin hidup dalam wilayah seluas 6 hingga 2 hektar, dan monyet malam jarang bertahan lebih dari 10 hektar, tetapi kelompok tamarin secara rutin menempati 30 hingga 120 hektar. Yang paling mengejutkan tentang wilayah tamarin adalah ukurannya. Bandingkan ini dengan 1 hingga 2 hektar yang dibutuhkan oleh tupai abu-abu Amerika Utara biasa, mamalia nonteritorial dengan ukuran yang hampir sama. Sekelompok tamarin menggunakan ruang yang sama banyaknya dengan pasukan capuchin coklat, meskipun yang terakhir memiliki berat 15 kali lipat. Jadi, selain langka, tamarin membutuhkan ruang yang tampaknya benar-benar tidak proporsional dengan ukurannya.
Perhatian utama dari bacaan ini adalah untuk",merekomendasikan kebijakan,mengevaluasi sebuah teori,menggambarkan kondisi yang tidak biasa,menjelaskan perkembangan hipotesis,2
645,BI,"""Kostum ketat itu, Eyang,” kata Zahra, ""adalah tradisi balet. Seperti para perenang yang hampir-hampir telanjang ketika bertanding di kolam renang, begitu pula kostum ketat balet memudahkan untuk bergerak menari.” ""Jadi tanpa mempertimbangkan moral dan agama?” tukas Kakek. ""Moral dan agama ada pada keindahan kesenian itu. Kalau Eyang puas atas pertunjukan balet itu, ini artinya balet dari Negeri Tirai Besi itu telah berdakwah tentang kebenaran.” ”Saya pusing mendengar pikiran-pikiran anak muda sekarang,” tukas Kakek. ""Eyangmu itu pantas jadi polisi moral, Zahra,” tukas Nenek. Lengang sejenak. Seperti tercium setan lewat. Zahra melanjutkan obrolannya: ""Wajah Allah itu memancar memenuhi alam semesta dan kita makhluk ciptaannya dapat menatap Wajah itu secara gamblang. Ada api yang menyala-nyala. Ada air yang mudah mematikan api. Ada tanah yang bisa menumbuhkan padi sehingga kita tidak kelaparan. Ada angin yang tidak kelihatan yang membuat kita bernapas hidup puluhan tahun. Ada zat yang mendorong kita beranak-pinak. Dan ternyata Allah itu indah, Allah mencintai keindahan.” ""Kita juga memiliki keindahan tradisi. Kita wajib memeliharanya.” ""Saya setuju, Eyang. Cobalah nikmati tari bedoyo. Dalam dandanan kebaya pinjungan, menyembulkan semburat merah jambu gunung kembar yang menjenguk lewat dada yang lebar terbuka. Para pujangga menyebutnya Glatik Nginguk artinya ‘Burung Gelatik yang Menjenguk’ yang membuat dada para raja dan pangeran ""mak-sir”, tergetar. Mendorong keanggunan Sembilan penari yang gemulai dalam balutan kain yang ketat. Dalam balet, seorang penari harus lebar-lebar merentangkan kakinya supaya bisa terbang, sedang dalam bedoyo para penari bahkan untuk berjalan biasa saja, cukup sulit, itulah keunikan tiap tradisi yang mewariskan budaya dunia. Suatu dakwah keindahan tiada tara.” Tukas Kakek: ""Tidak ada pornografi dan pornoaksi dalam tari bedoyo.” ""Sebagaimana balet, tidak ada pornografi dan pornoaksi,” sambung Zahra.
Tema kutipan cerpen tersebut adalah",cara pandang seseorang terhadap orang lain dalam bersikap dan memahami sebuah perbedaan,pergolakan batin seseorang dalam menghadapi pendapat dan opini orang lain,kepastian dan keteguhan prinsip dalam menghadapi perbedaan pandangan meski dengan keluarga,Perbandingan seni budaya yang ditilik dari referensi agama dan estetika seni,3
646,BI,"""Kostum ketat itu, Eyang,” kata Zahra, ""adalah tradisi balet. Seperti para perenang yang hampir-hampir telanjang ketika bertanding di kolam renang, begitu pula kostum ketat balet memudahkan untuk bergerak menari.” ""Jadi tanpa mempertimbangkan moral dan agama?” tukas Kakek. ""Moral dan agama ada pada keindahan kesenian itu. Kalau Eyang puas atas pertunjukan balet itu, ini artinya balet dari Negeri Tirai Besi itu telah berdakwah tentang kebenaran.” ”Saya pusing mendengar pikiran-pikiran anak muda sekarang,” tukas Kakek. ""Eyangmu itu pantas jadi polisi moral, Zahra,” tukas Nenek. Lengang sejenak. Seperti tercium setan lewat. Zahra melanjutkan obrolannya: ""Wajah Allah itu memancar memenuhi alam semesta dan kita makhluk ciptaannya dapat menatap Wajah itu secara gamblang. Ada api yang menyala-nyala. Ada air yang mudah mematikan api. Ada tanah yang bisa menumbuhkan padi sehingga kita tidak kelaparan. Ada angin yang tidak kelihatan yang membuat kita bernapas hidup puluhan tahun. Ada zat yang mendorong kita beranak-pinak. Dan ternyata Allah itu indah, Allah mencintai keindahan.” ""Kita juga memiliki keindahan tradisi. Kita wajib memeliharanya.” ""Saya setuju, Eyang. Cobalah nikmati tari bedoyo. Dalam dandanan kebaya pinjungan, menyembulkan semburat merah jambu gunung kembar yang menjenguk lewat dada yang lebar terbuka. Para pujangga menyebutnya Glatik Nginguk artinya ‘Burung Gelatik yang Menjenguk’ yang membuat dada para raja dan pangeran ""mak-sir”, tergetar. Mendorong keanggunan Sembilan penari yang gemulai dalam balutan kain yang ketat. Dalam balet, seorang penari harus lebar-lebar merentangkan kakinya supaya bisa terbang, sedang dalam bedoyo para penari bahkan untuk berjalan biasa saja, cukup sulit, itulah keunikan tiap tradisi yang mewariskan budaya dunia. Suatu dakwah keindahan tiada tara.” Tukas Kakek: ""Tidak ada pornografi dan pornoaksi dalam tari bedoyo.” ""Sebagaimana balet, tidak ada pornografi dan pornoaksi,” sambung Zahra.
Pernyataan berikut yang mencerminkan ketegasan dalam memegang prinsip yang muncul dalam kutipan cerpen tersebut adalah","Moral dan agama ada pada keindahan kesenian itu. Kalau Eyang puas atas pertunjukan balet itu, ini artinya balet dari Negeri Tirai Besi itu telah berdakwah tentang kebenaran.”","”Saya pusing mendengar pikiran-pikiran anak muda sekarang,” tukas Kakek.","""Kita juga memiliki keindahan tradisi. Kita wajib memeliharanya.”","Tukas Kakek: ""Tidak ada pornografi dan pornoaksi dalam tari bedoyo.”",0
647,BI,"""Moral dan agama ada pada keindahan kesenian itu. Kalau Eyang puas atas pertunjukan balet itu, ini artinya balet dari Negeri Tirai Besi itu telah berdakwah tentang kebenaran.” Yang dimaksud dari kata Negeri Tirai Besi dalam teks tersebut adalah",Cina,Rusia,Amerika Serikat,Jepang,0
648,BI,"Penyakit jantung bawaan (PJB) atau congenital heart disease merupakan penyebab cacat lahir yang paling sering terjadi dengan jenis dan tingkat keparahan yang beragam. Penyakit jantung bawaan terjadi akibat gangguan pada proses pembentukan dan perkembangan jantung janin. Jantung manusia terbagi menjadi empat ruang, yaitu dua serambi (atrium) dan dua bilik (ventrikel), masing-masing di sisi kanan dan kiri. Atrium kanan berfungsi untuk menerima darah kotor dari seluruh tubuh. Darah yang masuk ke atrium kanan akan dipompa ke ventrikel kanan, lalu dipompa menuju paru-paru untuk diisi oksigen. Darah yang kaya oksigen ini lalu kemudian kembali ke jantung melalui atrium kiri. Selanjutnya, darah tersebut akan masuk ke ventrikel kiri, untuk kemudian dipompa ke seluruh tubuh melalui aorta. Pada penderita PJB, siklus dan aliran darah tersebut bisa terganggu. Kondisi ini dapat terjadi akibat gangguan di katup, ruang jantung, dinding penyekat di antara ruang jantung (septum), atau pembuluh darah dari dan menuju jantung. (Diadaptasi dari https://www.alodokter.com/)
Makna paling tepat kata penyakit jantung bawaan (PJB) pada bacaan adalah",bayi dengan kondisi jantung yang tidak dapat memompa dan mengalirkan darah dengan normal,penyakit keturunan yang menyebabkan jantung tidak dapat melakukan fungsinya dengan benar.,Kelainan pada struktur dan fungsi jantung bayi yang sudah ada sejak lahir sehingga aliran darah dari dan menuju jantung terganggu.,Keadaan jantung yang tidak dapat melakukan siklus dan aliran darah secara normal,2
649,BI,"Penyakit jantung bawaan (PJB) atau congenital heart disease merupakan penyebab cacat lahir yang paling sering terjadi dengan jenis dan tingkat keparahan yang beragam. Penyakit jantung bawaan terjadi akibat gangguan pada proses pembentukan dan perkembangan jantung janin. Jantung manusia terbagi menjadi empat ruang, yaitu dua serambi (atrium) dan dua bilik (ventrikel), masing-masing di sisi kanan dan kiri. Atrium kanan berfungsi untuk menerima darah kotor dari seluruh tubuh. Darah yang masuk ke atrium kanan akan dipompa ke ventrikel kanan, lalu dipompa menuju paru-paru untuk diisi oksigen. Darah yang kaya oksigen ini lalu kemudian kembali ke jantung melalui atrium kiri. Selanjutnya, darah tersebut akan masuk ke ventrikel kiri, untuk kemudian dipompa ke seluruh tubuh melalui aorta. Pada penderita PJB, siklus dan aliran darah tersebut bisa terganggu. Kondisi ini dapat terjadi akibat gangguan di katup, ruang jantung, dinding penyekat di antara ruang jantung (septum), atau pembuluh darah dari dan menuju jantung. (Diadaptasi dari https://www.alodokter.com/)
Dalam bacaan terdapat pernyataan “Penyakit jantung bawaan terjadi akibat gangguan pada proses pembentukan dan perkembangan jantung janin. "" Pernyataan berikut ini yang merupakan penjelas yang tepat atas pernyataan tersebut adalah",terjadi gangguan aliran darah dalam ruang jantung sehingga darah yang dipompa tidak sesuai dengan kebutuhan tubuh bayi saat masih dalam kandungan.,gangguan aliran darah ini akan menimbulkan keluhan dan gejala pada penderitanya,penyebab terjadinya kelainan struktur jantung selama proses pembentukan janin belum diketahui secara pasti.,"ibu mengonsumsi obat-obatan tertentu selama hamil, seperti obat anti kejang, dan obat golongan statis, tanpa petunjuk dokter.",2
650,BI,"Manusia, lahir dengan dorongan untuk mengeksplorasi dan bereksperimen, berkembang dengan belajar. Sayangnya, perusahaan berorientasi terutama pada pengendalian karyawan, bukan mendorong pembelajaran mereka. Ironisnya, orientasi ini menciptakan kondisi yang menakdirkan karyawan berkinerja biasa-biasa saja. Seiring waktu, kinerja yang unggul membutuhkan pembelajaran yang unggul, karena kelangsungan hidup perusahaan jangka panjang bergantung pada terus mengeksplorasi peluang bisnis dan organisasi baru yang dapat menciptakan sumber pertumbuhan baru. Untuk bertahan di masa depan, korporasi harus menjadi ""organisasi pembelajar"", perusahaan yang terus-menerus mampu beradaptasi dan memperluas kemampuannya. Untuk mencapai hal ini, perusahaan harus mengubah cara mereka memandang karyawan. Pandangan tradisional bahwa seorang pemimpin karismatik harus menetapkan arah korporasi dan membuat keputusan kunci berakar pada pandangan dunia individualistis. Dalam dunia yang semakin saling bergantung, pandangan seperti itu tidak lagi dapat dipertahankan. Dalam organisasi pembelajar, berpikir dan bertindak terintegrasi di semua tingkat pekerjaan. Kepemimpinan perusahaan dibagi, dan pemimpin menjadi desainer, guru, dan pelayan, peran yang membutuhkan keterampilan baru: kemampuan untuk membangun visi bersama, untuk mengungkapkan dan menantang model mental yang berlaku, dan untuk mengembangkan pola berpikir yang lebih luas dan terintegrasi. Singkatnya, pemimpin dalam organisasi pembelajaran bertanggung jawab untuk membangun organisasi di mana karyawan terus-menerus mempelajari keterampilan baru dan mengembangkan kemampuan mereka untuk membentuk masa depan mereka.
Berdasarkan bacaan, pemimpin perusahaan tradisional berbeda dari pemimpin dalam organisasi pembelajaran, yang sebelumnya",mendorong karyawan untuk berkonsentrasi pada pengembangan berbagai keterampilan,memungkinkan karyawan untuk mengenali dan menghadapi model perusahaan yang dominan dan untuk mengembangkan model alternatif,membuat keputusan kebijakan penting sendiri dan kemudian mewajibkan karyawan dalam korporasi untuk patuh terhadap keputusan-keputusan itu,menanamkan kepercayaan pada karyawan karena kesediaan mereka untuk membuat keputusan berisiko dan menerima konsekuensinya,2
651,BI,"Manusia, lahir dengan dorongan untuk mengeksplorasi dan bereksperimen, berkembang dengan belajar. Sayangnya, perusahaan berorientasi terutama pada pengendalian karyawan, bukan mendorong pembelajaran mereka. Ironisnya, orientasi ini menciptakan kondisi yang menakdirkan karyawan berkinerja biasa-biasa saja. Seiring waktu, kinerja yang unggul membutuhkan pembelajaran yang unggul, karena kelangsungan hidup perusahaan jangka panjang bergantung pada terus mengeksplorasi peluang bisnis dan organisasi baru yang dapat menciptakan sumber pertumbuhan baru. Untuk bertahan di masa depan, korporasi harus menjadi ""organisasi pembelajar"", perusahaan yang terus-menerus mampu beradaptasi dan memperluas kemampuannya. Untuk mencapai hal ini, perusahaan harus mengubah cara mereka memandang karyawan. Pandangan tradisional bahwa seorang pemimpin karismatik harus menetapkan arah korporasi dan membuat keputusan kunci berakar pada pandangan dunia individualistis. Dalam dunia yang semakin saling bergantung, pandangan seperti itu tidak lagi dapat dipertahankan. Dalam organisasi pembelajar, berpikir dan bertindak terintegrasi di semua tingkat pekerjaan. Kepemimpinan perusahaan dibagi, dan pemimpin menjadi desainer, guru, dan pelayan, peran yang membutuhkan keterampilan baru: kemampuan untuk membangun visi bersama, untuk mengungkapkan dan menantang model mental yang berlaku, dan untuk mengembangkan pola berpikir yang lebih luas dan terintegrasi. Singkatnya, pemimpin dalam organisasi pembelajaran bertanggung jawab untuk membangun organisasi di mana karyawan terus-menerus mempelajari keterampilan baru dan mengembangkan kemampuan mereka untuk membentuk masa depan mereka.
Manakah dari berikut ini yang paling menggambarkan perilaku karyawan yang didorong dalam organisasi pembelajar, sebagaimana organisasi tersebut dijelaskan dalam bacaan ini?",Mendefinisikan deskripsi pekerjaan dengan hati-hati dan berhati-hati untuk menghindari penyimpangan darinya,Merancang program mentoring yang melatih baru karyawan untuk mengikuti prosedur yang telah digunakan selama bertahun-tahun,Memusatkan upaya seseorang untuk menguasai satu aspek dari tugas yang rumit,"Menganalisis masalah yang berkaitan dengan produktivitas, membuat Keputusan tentang solusi, dan mengimplementasikan solusi tersebut",3
652,BI,"Manusia, lahir dengan dorongan untuk mengeksplorasi dan bereksperimen, berkembang dengan belajar. Sayangnya, perusahaan berorientasi terutama pada pengendalian karyawan, bukan mendorong pembelajaran mereka. Ironisnya, orientasi ini menciptakan kondisi yang menakdirkan karyawan berkinerja biasa-biasa saja. Seiring waktu, kinerja yang unggul membutuhkan pembelajaran yang unggul, karena kelangsungan hidup perusahaan jangka panjang bergantung pada terus mengeksplorasi peluang bisnis dan organisasi baru yang dapat menciptakan sumber pertumbuhan baru. Untuk bertahan di masa depan, korporasi harus menjadi ""organisasi pembelajar"", perusahaan yang terus-menerus mampu beradaptasi dan memperluas kemampuannya. Untuk mencapai hal ini, perusahaan harus mengubah cara mereka memandang karyawan. Pandangan tradisional bahwa seorang pemimpin karismatik harus menetapkan arah korporasi dan membuat keputusan kunci berakar pada pandangan dunia individualistis. Dalam dunia yang semakin saling bergantung, pandangan seperti itu tidak lagi dapat dipertahankan. Dalam organisasi pembelajar, berpikir dan bertindak terintegrasi di semua tingkat pekerjaan. Kepemimpinan perusahaan dibagi, dan pemimpin menjadi desainer, guru, dan pelayan, peran yang membutuhkan keterampilan baru: kemampuan untuk membangun visi bersama, untuk mengungkapkan dan menantang model mental yang berlaku, dan untuk mengembangkan pola berpikir yang lebih luas dan terintegrasi. Singkatnya, pemimpin dalam organisasi pembelajaran bertanggung jawab untuk membangun organisasi di mana karyawan terus-menerus mempelajari keterampilan baru dan mengembangkan kemampuan mereka untuk membentuk masa depan mereka.
Menurut penulis bacaan itu, pemimpin perusahaan masa depan harus melakukan yang mana dari berikut ini?",Mereka harus mendorong karyawan untuk menempatkan tujuan jangka panjang di atas keuntungan jangka pendek.,Mereka harus berlatih lebih banyak kontrol atas karyawan untuk membatasi biaya produksi.,Mereka harus mendefinisikan kembali insentif bagi peningkatan kinerja karyawan,Mereka harus memberi karyawan kesempatan untuk memperoleh keterampilan baru dan memperluas kemampuan mereka,3
653,BI,"Manusia, lahir dengan dorongan untuk mengeksplorasi dan bereksperimen, berkembang dengan belajar. Sayangnya, perusahaan berorientasi terutama pada pengendalian karyawan, bukan mendorong pembelajaran mereka. Ironisnya, orientasi ini menciptakan kondisi yang menakdirkan karyawan berkinerja biasa-biasa saja. Seiring waktu, kinerja yang unggul membutuhkan pembelajaran yang unggul, karena kelangsungan hidup perusahaan jangka panjang bergantung pada terus mengeksplorasi peluang bisnis dan organisasi baru yang dapat menciptakan sumber pertumbuhan baru. Untuk bertahan di masa depan, korporasi harus menjadi ""organisasi pembelajar"", perusahaan yang terus-menerus mampu beradaptasi dan memperluas kemampuannya. Untuk mencapai hal ini, perusahaan harus mengubah cara mereka memandang karyawan. Pandangan tradisional bahwa seorang pemimpin karismatik harus menetapkan arah korporasi dan membuat keputusan kunci berakar pada pandangan dunia individualistis. Dalam dunia yang semakin saling bergantung, pandangan seperti itu tidak lagi dapat dipertahankan. Dalam organisasi pembelajar, berpikir dan bertindak terintegrasi di semua tingkat pekerjaan. Kepemimpinan perusahaan dibagi, dan pemimpin menjadi desainer, guru, dan pelayan, peran yang membutuhkan keterampilan baru: kemampuan untuk membangun visi bersama, untuk mengungkapkan dan menantang model mental yang berlaku, dan untuk mengembangkan pola berpikir yang lebih luas dan terintegrasi. Singkatnya, pemimpin dalam organisasi pembelajaran bertanggung jawab untuk membangun organisasi di mana karyawan terus-menerus mempelajari keterampilan baru dan mengembangkan kemampuan mereka untuk membentuk masa depan mereka.
Pernyataan di bawah ini yang merupakan opini penulis sesuai bacaan adalah",mendukung struktur perusahaan tradisional,mendukung pendekatan baru agar karyawan bertanggung jawab atas pimpinan secara individual,mendukung teori bersaing tentang praktik manajemen dan mendamaikan mereka,mendukung alternatif pendekatan organisasi pembelajar bagi perusahaan,3
654,BI,"Para ilmuwan dibuat bingung oleh perbedaan yang tampak antara model pemanasan global berdasarkan emisi gas rumah kaca dan data cimatologis aktual. Singkatnya, pemanasan dunia tidak sebanyak yang diprediksi oleh model ini, pada awal 1990-an. Pat Michaels berusaha untuk menjelaskan perbedaan ini, yakni menunjukkan bahwa emisi sulfat di kawasan industri memiliki efek pendinginan, sehingga memperlambat pemanasan global untuk sementara. Pengaruh harus sebagian besar terbatas pada belahan bumi itu. Namun, sejak tahun 1987, pemanasan di Belahan Bumi Selatan, yang relatif intens, hampir berhenti, sementara pemanasan di belahan utara meningkat pesat. Dengan demikian, Michaels tidak hanya meragukan gagasan pendinginan sulfat, tetapi juga merasa bahwa model pemanasan global itu sendiri mungkin cacat. Ben Santer tidak setuju, Santer berpendapat bahwa, secara umum, pemanasan global terjadi lebih lambat di selatan karena belahan bumi ini didominasi oleh lautan, yang menghangat lebih lambat daripada daratan yang menguasai belahan bumi utara. Namun, menurut Santer, situasinya tetap diperumit oleh pendinginan sulfat, yang memuncak di utara pada pertengahan abad ke-20. Ini secara drastis memperlambat pemanasan di Belahan Bumi Utara, dan pemanasan di Belahan Bumi Selatan melaju kencang, Sejak 1987, Santer berpendapat, efek rumah kaca telah menegaskan dirinya kembali, dan utara telah memimpin. Jadi, Santer membantah klaim Michaels bahwa prediksi model dan data yang diamati berbeda secara fundamental.
Bacaan ini menunjukkan bahwa pada awal 1990-an, Michaels kemungkinan besar akan setuju dengan pernyataan berikut tentang perbedaan yang disebutkan pada kalimat (1) adalah",Perbedaan ini relatif kurang ekstrem di belahan bumi utara karena pendinginan sulfat.,Perbedaan ini hanyalah fenomena jangka pendek yang ditimbulkan oleh pendinginan sulfat,Perbedaan ini paling signifikan di bagian dunia didominasi oleh lautan.,Tingkat perbedaan ini ditutupi oleh efek sementara dari pendinginan sulfat,0
